CANVAS[8689] bounds(2346,2305/3053,2759) rotate(-187.9)
CANVAS[8689] bounds(2505,2421/3227,2981) rotate(-201.4)
CANVAS[8689] bounds(2507,2440/3299,2952) rotate(-188.3)
CANVAS[8689] bounds(2621,2193/3537,2891) rotate(-200.0)
CANVAS[8689] bounds(2633,2410/3280,2806) rotate(-174.9)
CANVAS[8689] bounds(2636,2423/3274,2803) rotate(-176.4)
CANVAS[8689] bounds(2723,2328/3446,2735) rotate(-179.3)
CANVAS[8689] bounds(2746,2460/3440,2936) rotate(-192.2)
CANVAS[8689] bounds(2746,2460/3440,2936) rotate(-192.3)
CANVAS[8689] bounds(2755,2488/3444,2970) rotate(-191.7)
CANVAS[8689] bounds(2769,2455/3550,3083) rotate(-204.3)
CANVAS[8689] bounds(2819,2567/3491,2973) rotate(-175.6)
CANVAS[8689] bounds(2857,2411/3521,2784) rotate(-182.5)
CANVAS[8689] bounds(2922,2385/3667,2862) rotate(-172.2)
CANVAS[8689] bounds(2926,2587/3593,2963) rotate(-180.9)
CANVAS[8689] bounds(2929,2289/3699,2947) rotate(-208.3)
CANVAS[8689] bounds(2966,2568/3660,3022) rotate(-189.0)
CANVAS[8689] bounds(2966,2569/3660,3023) rotate(-189.0)
CANVAS[8689] bounds(2974,2272/3682,2867) rotate(-208.3)
CANVAS[8689] bounds(2987,2382/3700,2912) rotate(-198.0)
CANVAS[8689] bounds(2999,2712/3671,3116) rotate(-175.9)
CANVAS[8689] bounds(3000,2708/3692,3129) rotate(-175.2)
CANVAS[8689] bounds(3031,2642/3696,3041) rotate(-176.1)
CANVAS[8689] bounds(3160,2386/3746,2735) rotate(-176.3)
